can,可以
Granules,颗粒
strict,严格
download,下载
seed,种子
Solve the problem,解决问题
reliable,可靠
malfunction,故障
upgrade,升级
Recognized,认可
Reluctant,不愿
local,本地
cake,蛋糕
friendship,友谊
Inspected,考察
this month,本月
special,特殊
Switzerland,瑞士
life,寿命
Case,病例
Team,队伍
Two,两家
reward,奖励
plastic,塑料
save,拯救
That day,那天
clinical,临床
active,活跃
storm,风暴
Building,大楼
obligation,义务
Eurozone,欧元区
Nuclear weapons,核武器
Guy,家伙
Bill,比尔
finger,手指
vessel,船只
sky,天空
medicine,医学
Give it to,交给
milk,牛奶
evolution,进化
pleasure,乐趣
mind,头脑
Taliban,塔利班
factor,因子
Soviet Union,苏联
vote,选票
Visual,视觉
eat,吃饭
break down,分解
exclude,排除
The guests,客人
proxy,代理
Browse,浏览
Comfortable,舒服
shared,共享
Adults,成年人
system,体制
Increase,加大
job opportunity,就业机会
Mainland,内地
Bra,布拉
EUR,欧元
excitation,激发
gap,差距
Somalia,索马里
Logistics,物流
Hillary,希拉里
Sao Tome and Principe,圣多美和普林西比
Governed,执政
Remember,想起
heart disease,心脏病
Financing,融资
Arab,阿拉伯
terrorist,恐怖分子
At,处在
band,乐队
child,子女
Comfortable,舒适
desire,愿望
Activists,激进分子
classification,分类
Berg,伯格
Smoking,吸烟
Process,流程
collapse,崩溃
civilian,平民
laser,激光
Bed,床上
Feedback,反馈
serum,血清
situation,情形
Moscow,莫斯科
navy,海军
label,标签
reasonable,合理
move,举动
Governor,州长
apologize,道歉
great,伟大
lose weight,减肥
Benefit,受益
show,演出
With,搭配
idea,主意
near,靠近
prompt,提示
inform,告知
listen,倾听
Environmental protection,环保
judicial,司法
premise,前提
poverty,贫穷
Dam,大坝
Quote,引用
monitor,监控
it will,它会
constraint,约束
Same day,当天
vaccine,疫苗
truck,卡车
Exports,出口额
be quiet,安静
salary,薪水
Academic,学术
response,响应
freshwater,淡水
Developed countries,发达国家
strength,实力
rural,乡村
communication,通讯
Reply,回复
dynamic,动态
Clear,清除
As,当作
mechanism,机理
Federal Reserve,美联储
men and women,男女
Host,主持
Kate,凯特
Detached,脱离
reward,收获
Pick,挑选
CEO,首席执行官
operation,作业
Rice,赖斯
Genetic,遗传
at home,家中
meet,会见
pier,码头
Document,文档
equation,方程
The body,尸体
Ancient,古代
Workplace,职场
Say it,时说
The item,该项
Republican,共和党人
ancient,古老
drive,驾驶
Smith,史密斯
Rotate,旋转
profound,深刻
Listed,列出
First half,上半年
singer,歌手
complete,完整
Couples,夫妻
Play,播放
page,页面
boss,上司
beef,牛肉
This part,这部
disturbed,不安
church,教会
Order,订单
patent,专利
Screen,画面
AIDS,艾滋病
scanning,扫描
Transliteration,音译
Reported,报导
route,路线
Residential,住宅
pregnancy,怀孕
Lost,丧失
product,产物
Job search,求职
I can,我能
practice,实习
Malaysia,马来西亚
As,看作
Suffering,患有
breakthrough,突破
Clear,清晰
Duty,职责
mouse,老鼠
sensor,传感器
just,公正
sequence,序列
James,詹姆斯
Barcelona,巴萨
Scotland,苏格兰
Consumption,消耗
track,追踪
Protesters,抗议者
outside world,外界
deceive,欺骗
Tom,汤姆
electricity company,电力公司
Call it,称之为
Governance,治理
town,城镇
Solar energy,太阳能
drive,驱动
sample,样品
Three kinds,三种
password,密码
season,季节
sacrifice,牺牲
license,许可
Invasion,入侵
Vacation,度假
Lens,镜头
the term,期限
Sales,销量
career,职业生涯
This move,此举
labor force,劳动力
pet,宠物
intelligent,智能
box office,票房
weekly,每周
Built,建成
unemployment rate,失业率
Norway,挪威
appointment,任命
post,岗位
Performance,业绩
percentage point,百分点
individual,个体
inflation,通货膨胀
review,回顾
Delivered to,送到
neighbor,邻居
Girls,女生
Start,着手
hide,隐藏
Do something,做些
visa,签证
User,网友
beat,击败
manufacturing,制造业
reason,理性
Hire,雇佣
Democrats,民主党人
GDP,国内生产总值
Mrs,太太
problem,难题
motivation,动机
distinguish,区分
Treat,看待
Value,数值
appropriate,适当
Jack,杰克
Out of,出于
Deal with,对付
obesity,肥胖
soul,心灵
birds,鸟类
Party,派对
celebrity,名人
tobacco,烟草
imitate,模仿
English,英文
Respondents,受访者
strengthen,强化
Foreigner,外国人
courtesy,礼貌
weight,重量
British,英国人
nose,鼻子
Beyond,超出
Values,价值观
stage,舞台
on Saturday,星期六
Voice of America,美国之音
Secretary General,秘书长
Nursing,护理
cautious,谨慎
Model 煳,模煳
Chinese,中文
radiation,辐射
coach,教练
At home and abroad,国内外
awkward,尴尬
One,一台
Shock,震惊
issue,议题
Troubled,困扰
make up,补偿
calm,平静
how is it,如何
proud,骄傲
neighboring countries,邻国
General meeting,总会
deficit,赤字
proposal,提案
lunch,午餐
miss,错过
belief,信念
Jobs,乔布斯
Learned,学到
overall,总体
Good at,擅长
Amazon,亚马逊
Carl,卡尔
share price,股价
Alternative,替代
reserve,储备
baby,宝宝
termination,终止
Early,初期
civilization,文明
grateful,感激
dynamics,动力学
Players,玩家
labor,劳动
name,命名
indoor,室内
Exposed,暴露
atmosphere,气氛
ish,般的
Apple company,苹果公司
crop,作物
atom,原子
audience,听众
Accompanied,伴随
know,懂得
cement,水泥
Negotiation,协商
Universal,通用
Martin,马丁
Chicago,芝加哥
Mike,麦克
to chat with,聊天
frequency,次数
clean,干净
beach,海滩
outstanding,出色
Valley,河谷
Create,打造
mark,马克
Samsung,三星
purchase,采购
lonely,孤独
meet,见面
High-level,高层
England,英格兰
Provided,设在
expression,表情
rapid,迅速
mortgage,抵押
basin,盆地
Human Resources,人力资源
Guangzhou,广州
summer,夏季
Big city,大城市
Issued,发放
Increase,增大
despair,绝望
grammar,语法
House of Representatives,众议院
injection,注射
Birth,诞生
long,长期
fixed,固定
mayor,市长
TV show,电视节目
Go up,上去
Bring to,带到
White people,白人
All parties,各方
square,广场
A paragraph,一段
group,一群
seat,座位
aisle,通道
supplier,供应商
Two weeks,两周
Say it,地说
Steel,钢铁
street,街头
Observation,观测
Oxidation,氧化
hunger,饥饿
Divided,划分
Hill,希尔
Immune,免疫
look,目光
tribe,部落
malaria,疟疾
Furniture,家具
amazing,惊人
convey,传达
hardware,硬件
Win,获胜
Control,对照
Bachelor of Science,学位
coefficient,系数
Kerry,克里
transmission,传输
see,看出
terror,恐怖
chair,椅子
Geology,地质
Say it,说出
Baggage,行李
Argentina,阿根廷
floor,地板
follow,遵循
engine,引擎
Manager,管理者
welfare,福利
license,许可证
Move,举措
Registration,登记
Said,中说
assembly,集会
Love,热爱
Not,不敢
Module,模块
dark,黑暗
Two days,两天
hold,持有
procrastination,拖延
Violation,侵犯
copy,复制
psychology,心理学
equipment,装备
researcher,研究员
diabetes,糖尿病
address,地址
Come in,进来
Finance minister,财政部长
favorable,有利
birthday,生日
The film,该片
Bit,比特
injection,注入
resolution,决议
Indonesia,印尼
in love,恋爱
unit,单元
joy,欢乐
pilot,飞行员
dispersion,分散
For example,为例
edible,食用
Lifted,解除
One,一支
economic recession,经济衰退
Run,运转
building,建筑物
Robert,罗伯特
carry,携带
Financial Institutions,金融机构
treaty,条约
Willingness,意愿
Soy,大豆
Take,服用
bedroom,卧室
double,两倍
Colombia,哥伦比亚
channel,渠道
embrace,拥抱
more than the,大于
Christmas,圣诞
is having a,有个
elasticity,弹性
Contemporary,当代
Appearance,外表
banking,银行业
Stay,停留
community,共同体
clean,清洁
Difficult,很难
collection,采集
defense,防御
destroy,摧毁
Pay attention,注重
antibody,抗体
Cuba,古巴
Slow down,放缓
fluctuation,波动
Record,纪录
joke,开玩笑
Mary,玛丽
Nano,纳米
profit,盈利
repeat,重复
fulfill,履行
Narrative,叙述
sort out,整理
dose,剂量
Agree,认同
fraction,分数
physiological,生理
credit,信用
feasible,可行
Gaming industry,博彩业
ally,盟友
overthrow,推翻
depth,深度
Give it,予以
get along,相处
Olympic Games,奥运
Exacerbated,加剧
Evenly,均匀
Sources,消息人士
matrix,矩阵
stone,石头
winter,冬季
Heat,热量
very long,很长
transition,过渡
guess,猜测
Prosecute,起诉
Financial market,金融市场
Today,当今
rise,上涨
sensitive,敏感
Sales,销售额
shape,塑造
Mali,马里
Countermeasures,对策
order,顺序
difference,差别
hostel,旅馆
Make money,赚钱
Speaking,发言
Imagine,设想
Supermarket,超市
Communication,交往
simulation,仿真
Lebanon,黎巴嫩
Circuit,电路
Several,几种
based on,基于
sympathy,同情
window,窗户
artery,动脉
Guinea-Bissau,几内亚比绍
Ford,福特
Sweden,瑞典
Men,男士
Expansion,扩建
Exhibition,展会
sit down,坐下
Various types,各类
correspond,对应
enjoy,享有
Fight,作战
go to school,上学
get away,逃离
corrosion,腐蚀
then,当年
hurricane,飓风
term of office,任期
assimilate into,融入
strike,罢工
link,链接
crude,原油
Deposition,沉积
Daily life,日常生活
Excuse,借口
grade,等级
store,储存
Homosexuality,同性恋
subsidy,补贴
interactive,互动
liquid,液体
shirt,衬衫
prayer,祈祷
Conference,发布会
tonight,今晚
excellent,优秀
garden,花园
node,节点
terrible,可怕
sovereignty,主权
honest,诚实
delete,删除
meaning,含义
End of month,月底
Prevention and treatment,防治
wheat,小麦
Have the right,有权
Bidding,招标
letter,字母
Identification,鉴定
new Year,新年
Staff,职员
Shoes,鞋子
Wall Street,华尔街
Iron ore,铁矿石
flood,洪水
plot,情节
separate,分开
The World Bank,世行
Secondary school,中学
Shrink,缩小
adult,成人
privacy,隐私
intelligence,情报
occupied,占领
Album,专辑
Moon,月球
Expect,指望
village,村庄
Board,登上
dance,舞蹈
Barak,巴拉克
egg,鸡蛋
safety,安全性
winter,冬天
One,一所
transport,运送
Jackson,杰克逊
patient,耐心
Native,本土
Discount,优惠
poet,诗人
To a certain degree,某种程度
Handle,应付
Jeff,杰夫
This matter,此事
Vitamins,维生素
make up,弥补
desire,欲望
Rate,房价
lovely,可爱
stock market,股市
receive,接收
sucrose,蔗糖
civil war,内战
level,级别
Reorganization,重组
Food,美食
describe,形容
regret,遗憾
commercial Bank,商业银行
recently,近日
politician,政客
shorten,缩短
irony,讽刺
inspiration,灵感
Trees,树木
dinner,晚餐
Globalization,全球化
tragedy,悲剧
Diversity,多样性
Lover,爱好者
United,团结
partisan,党派
Tokyo,东京
Part,一部分
Learn from,借鉴
Big country,大国
Oil prices,油价
Crowded,拥挤
Current,电流
path,路径
Split,分裂
When will,时会
Equity,股权
union,工会
head,头部
Partial,局部
reading,读书
Next,接下来
layer,一层
today,今日
Disadvantages,缺点
Graphics,图形
Couple,情侣
sample,样本
heating,加热
Nothing to do,无关
Click,点击
grasp,把握
day,白天
auction,拍卖
Inquire,查询
subway,地铁
Bring,带给
pride,自豪
Depend on,依赖于
Founded,创办
slow,缓慢
creativity,创造性
Kidnapping,绑架
night,夜晚
Light,光线
turmoil,动荡
host,主持人
hat,帽子
career,生涯
meet,迎接
Fixed,修正
interface,界面
girl,姑娘
Interviewer,面试官
behind,落后
posture,姿势
U.S. Congress,美国国会
A few weeks,几周
national,国民
issued,发行
glasses,眼镜
save,节省
Rhythm,节奏
mainland,大陆
Trade volume,贸易额
fatigue,疲劳
rate,速率
ear,耳朵
match,匹配
fan,球迷
The Pacific Ocean,太平洋
Territory,境内
Rise,崛起
excitement,激动
volume,体积
Induced,诱导
Palestinians,巴勒斯坦人
time out,暂停
Ride,乘坐
atmosphere,大气
Short name,简称
oilfield,油田
fantasy,幻想
Mentality,心态
endure,忍受
classroom,课堂
table of Contents,目录
Diesel,柴油
Said,中称
entity,实体
Overcome,战胜
total,总数
Subject,学科
carbon dioxide,二氧化碳
hometown,家乡
humor,幽默
Agree,赞同
Solution,溶液
flexible,灵活
After surgery,术后
miracle,奇迹
accounting,会计
Workers,工作者
Component,组件
Position,职务
Name,姓名
level,层次
Christian,基督教
diffusion,扩散
elegant,优雅
vibration,振动
Rice,大米
Our side,我方
walk,行走
audit,审计
Regulations,法规
shrink,收缩
Amount,金额
journey,旅程
Moisture,水分
number,数目
drama,戏剧
Price,售价
Atmosphere,氛围
Rich people,富人
repay,偿还
put into a,放入
angel,天使
photography,摄影
Immediate,眼前
how,怎样
Walked,走过
lead,带领
Depression,抑郁
verb,动词
Poetry,诗歌
attack,进攻
Inflation rate,通货膨胀率
territory,领土
Helicopter,直升机
Interrupted,中断
Two groups,两组
North America,北美
delicious,美味
Play,演奏
operating system,操作系统
Philippines,菲律宾
particle,粒子
tooth,牙齿
simplify,简化
formula,公式
Very small,很小
biology,生物学
Girlfriend,女友
Facing,面向
abandon,抛弃
Instructions,指示
Good at,善于
coding,编码
Web page,网页
Received,接到
the end of this year,今年年底
Divided into,分成
diameter,直径
queue,排队
Shenzhen,深圳
Rio de Janeiro,里约热内卢
opportunity,时机
Buyers,买家
Henry,亨利
jeans,牛仔裤
alloy,合金
underground,地下
write,撰写
Chris,克里斯
typical,典型
Allen,艾伦
Used as,用作
leader,领导者
inherit,继承
Model,模特
bee,蜜蜂
Reiterated,重申
procession,游行
empire,帝国
SMS,短信
Yes,赞成
Introduced,引进
Water,水中
write,编写
advanced,先进
List,榜单
Arm,手臂
Reach an agreement,达成协议
seminar,研讨会
get up,起床
search,搜寻
Retailer,零售商
scandal,丑闻
Listing,上市
lie,谎言
Confident,确信
reason,道理
error,误差
desert,沙漠
Rescue,救助
drug,药品
finals,决赛
Article,篇文章
Most,最有
stranger,陌生人
bias,偏见
new Zealand,新西兰
The most,最具
Foreign Minister,外长
Auxiliary,辅助
Animation,动画
gasoline,汽油
criticism,批判
increase,增多
Dismissal,解雇
Go in,进去
Expansion,膨胀
Sal,萨尔
authority,权威
San Francisco,旧金山
Middle class,中产阶级
Commissioned,委托
highway,高速公路
Integration,整合
Dig,挖掘
Kennedy,肯尼迪
Go up,走上
order,秩序
sad,悲伤
State Department,国务院
Receptor,受体
Pyongyang,平壤
voice,语音
Donate,捐款
motorcycle,摩托车
Beneficial,有益
From,源于
negative,否定
service,维修
door,大门
New York Times,纽约时报
Coal mine,煤矿
The elderly,老年人
Certification,认证
therapy,疗法
literature,文献
Transparent,透明
transplant,移植
praise,赞美
Exempted,免除
Hobbies,爱好
upset,烦恼
Opposition,反对党
respect,尊敬
Button,按钮
Break up,分手
guarantee,担保
odor,气味
component,组成部分
Small town,小镇
spring,春天
trend,潮流
Charles,查尔斯
Bible,圣经
islands,岛屿
pope,教皇
I got it,得知
Capitalism,资本主义
Power generation,发电
bump into,碰到
Burger,汉堡
Good thing,好事
Poland,波兰
Mentioned,提及
confused,困惑
Face,面部
Poor people,穷人
filter,筛选
Materials,物资
talent,天赋
Grassland,草地
Authority,管理局
Head up,头上
Question,课题
Transform,变换
Air China,国航
Created,创立
Johnson,约翰逊
A paragraph,一款
mortality rate,死亡率
Guidelines,准则
Granted,授予
bridge,桥梁
Postgraduate,研究生
sofa,沙发
Leisure,休闲
the masses,群众
Decrease,减小
Higher education,高等教育
Many people,多人
volcanic,火山
part,部件
Ministry of Finance,财政部
Priest,牧师
Media coverage,媒体报道
figure,身材
politician,政治家
secret,秘密
probability,几率
Introduced,出台
put one's oar in,干涉
menu,菜单
Denmark,丹麦
firmly believe,坚信
Sign,签订
truth,真理
fracture,断裂
modeling,造型
Reserve,储量
Run,跑步
go back,回去
retail,零售
plan,策划
And into,而成
Speculated,推测
Tortured,折磨
activation,激活
Real estate,房产
Inevitable,不可避免
Hands,手里
Tightening,紧缩
lesson,教训
speech,言语
cooking,烹饪
office,办事处
Citizens,市民
Surveillance,监视
Donate,捐赠
Foreign policy,外交政策
reflection,反射
Street,大街
Praise,赞扬
kill,杀害
Terrorist attacks,恐怖袭击
north,北方
Team members,队员
TV set,电视机
Fisheries,渔业
battlefield,战场
Air strike,空袭
Mars,火星
within Temptation,诱惑
Combine,相结合
organ,器官
No need to,不用
Internet,上网
one place,一处
Alibaba,阿里巴巴
Take a photo,拍照
Set up,组建
Formerly,从前
Firm,事务所
intention,意图
Constantly,不断
thickness,厚度
ban,禁令
Season,赛季
Possession,占有
Recycling,回收
together,一起
help,帮忙
Consolidation,巩固
ratio,比率
seawater,海水
line,线路
pattern,图案
Released,上映
psychologist,心理学家
account,帐户
On board,船上
Write down,写下
Fitness,健身
Up to,长达
All,各项
Zach,扎克
frequently,频繁
Boyfriend,男友
suburbs,郊区
signature,签名
manipulate,操纵
TV series,电视剧
Lusa club,卢萨社
weaken,削弱
struggle,挣扎
Venezuela,委内瑞拉
command,指挥
Steve,史蒂夫
Ideas,思路
not enough,不够
joke,笑话
wipe out,消灭
Listen,收听
shortage,短缺
This basis,此基础
agreement,协定
Discrimination,歧视
Control System,控制系统
Ships,船舶
expensive,昂贵
meet,会面
Periodicals,期刊
planet,行星
Office,办公
judgment,判决
Emerging Markets,新兴市场
wake up,醒来
fruit,果实
creativity,创造力
Elements,要素
Ingestion,摄入
Required,必需
Through,穿越
format,格式
Connotation,内涵
Mugabe,穆加贝
Michelle,米歇尔
Effective,生效
Income,所得
Open,开启
height,高度
exhibition,展览
Thomas,托马斯
general,一般
High above,高出
bonus,奖金
use,用途
print,打印
continue,延续
escape,逃避
powered by,供电
keyboard,键盘
Take advantage of,充分利用
books,图书
Little,小小的
cheese,奶酪
Perspective,视角
Accuracy,精度
curious,好奇
drought,干旱
A few minutes,几分钟
print,印刷
morning,上午
Now,现年
Accepted,接纳
window,窗口
prime minister,首相
same time last year,去年同期
force,强迫
Share,份额
Year,年内
anniversary,周年
One,一辆
One,一架
Broadcast,播出
Inoculation,接种
Completed,完工
Go out,外出
Monetary Fund,货币基金
Louis,路易斯
Avoid,避开
Polls,民意调查
exception,例外
public,公开
Eyes,眼中
How to do,怎么办
defend,辩护
Cleaning,清洗
Spend money,花钱
Weakened,减弱
leading,主导
place,放置
variable,变量
wait until,等到
To,通往
dancing,跳舞
Ask,问问
mission,使命
interface,接口
Christ,基督
automation,自动化
real,真正
Jose,若泽
Palin,佩林
Boys,男生
Six months,六个月
bottom,底部
Abuse,虐待
financial crisis,经济危机
Score,得分
intelligence,智力
Come,前来
peak,高峰
Played,饰演
Administrative Region,行政区
Photographer,摄影师
Developer,开发商
Richard,理查德
Situation,处境
Interested,有意
influenza,流感
praise,称赞
A while,一会儿
stroke,行程
Foreign students,留学生
extend,延伸
intervention,介入
establish,确立
Relationship,人际关系
rare,罕见
name,名义
limit,极限
huge,庞大
Painted,描绘
One,一张
compromise,妥协
Seen,看过
Toll,收费
Director,总监
Remove,去除
change,更改
age,年纪
Defense Minister,国防部长
switch,开关
too much,太多
Oscar,奥斯卡
Shard,碎片
Links,环节
Use,选用
Words,话语
bored,无聊
Planet,星球
diplomat,外交官
friendly,友好
Give,送给
test,考验
Thank you,谢谢
Killed,打死
honor,荣誉
Leave,留给
And use,并用
Overhead,开销
building,大厦
Face,面上
Three days,三天
Biden,拜登
Early in the month,月初
restaurant,饭店
Unprecedented,前所未有
hear,听见
Investment amount,投资额
drug,毒品
Lover,爱人
Total amount,总量
director,董事
loyalty,忠诚
market share,市场份额
Boston,波士顿
Arrested,被捕
Fertility,生育
journey of,之旅
I need to,我要
A few days ago,日前
Communique,公报
Inflation,通胀
resist,抵制
universal,普遍
taxpayer,纳税人
mineral,矿物
deposit,存款
symmetry,对称
detailed,详细
Vision,视野
blessing,祝福
principal,校长
Tsunami,海啸
sentence,句子
juvenile,少年
Sao Tome,圣多美
commander,指挥官
Governor,行长
Different from,不同于
shot,开枪
home,家园
Fermentation,发酵
flow,流量
noise,噪声
insect,昆虫
public,大众
Humanitarian,人道主义
feasibility,可行性
ruling,裁决
Turnover,营业额
delay,延迟
train,列车
stop,停下来
rupture,破裂
Quality,素质
good news,好消息
work,做事
concern,忧虑
appreciation,升值
Qaddafi,卡扎菲
at night,夜间
Option,选项
murder,谋杀
guide,指南
Monetary Policy,货币政策
From,来源于
wood,木材
discount,折扣
Strong,强劲
collective,集体
Differentiation,分化
Securities,证券
Do not let,不让
Alive,活着
tutor,导师
cotton,棉花
medium,介质
user,使用者
send,派遣
warm,温暖
spouse,配偶
A,一笔
greenhouse,温室
sell,推销
Control,掌控
period of time,段时间
gold medal,金牌
romantic,浪漫
Kwanza,宽扎
Early,年初
fling in teeth,嘲笑
This class,这类
Calories,卡路里
Later,晚些时候
Insurance company,保险公司
attack,发作
consensus,共识
digestion,消化
Elite,精英
Royal,皇家
younger sister,妹妹
box,盒子
unfavorable,不利
dry,干燥
Put in,置于
U.S. State Department,美国国务院
Made,做成
Magnitude,幅度
classroom,教室
attitude,姿态
resistance,抵抗
fragile,脆弱
Bring it,带上
seabed,海底
Down to,降到
prophecy,预言
the same one,同一个
lay down,放下
title,标题
Rose,罗斯
party,当事人
Stretched out,伸出
Morgan,摩根
Assad,阿萨德
the truth,真相
replace,更换
rich,富裕
Jews,犹太人
From,源自
calm,冷静
princess,公主
childhood,童年
The street,街上
Adsorption,吸附
A month,一个月
insert,插入
drink,喝酒
dispute,争端
air conditioning,空调
the term,术语
joint,关节
score,评分
Air tickets,机票
damage,损坏
study in,就读于
People,人家
be surprised,吃惊
grape,葡萄
shadow,阴影
warrior,战士
en route,途中
Long,漫长
Restrictions,制约
Lift up,提起
Compensation,赔偿
Set up,树立
payment,付款
myth,神话
Derived,推导
Soaring,飙升
but it is,却是
Surprise,惊奇
Promote,推行
With,借助
One side,一边
neck,脖子
Performance,绩效
Xinhua News Agency,新华社
Missing,缺失
clue,线索
Now,当下
migrate,迁移
Dogs,狗狗
Concession,特许权
Market economy,市场经济
Bell,贝尔
Grandmaster,大师
Born,生于
America,全美
Not like,不像
Evacuate,撤离
cool down,冷却
Offspring,后代
description,描写
hall,大厅
coupling,耦合
Bissau,比绍
One member,一员
Published,刊登
ancestor,祖先
Belgium,比利时
Chinese,汉语
exhibition,展览会
Latin America,拉美
Walking,散步
Breeding,繁殖
Musharraf,穆沙拉夫
can not see,看不到
defeat,打败
Branch,分支
Beach,沙滩
visit,拜访
telecommunications,电讯
promise,答应
Polls,民调
this,这件
arrangement,排列
Your side,贵方
World War II,二战
site,场地
Strength,力度
comfort,安慰
treatment,待遇
high tech,高科技
bride,新娘
major,重大
broadcast,广播
suitable,适宜
Start,入手
constant,不变
Probe,探测
justice,正义
walk,步行
Sea,海域
idol,偶像
scene,景象
pocket,口袋
As,当成
nurse,护士
The city,该市
Ban Ki-moon,潘基文
Mainstream,主流
telescope,望远镜
revenge,报复
fast,快速
sick,生病
Become,变为
river,河流
record,唱片
vice president,副总裁
enlarge,放大
Refinery,炼油厂
Words,词语
Lips,嘴唇
Elizabeth,伊丽莎白
quarrel,争吵
Friends,好友
Increase,增幅
Anna,安娜
embassy,大使馆
Jerusalem,耶路撒冷
Elected,选出
blood pressure,血压
noble,贵族
Compound,化合物
Economic and trade,经贸
Survival,存活
Taylor,泰勒
airliner,客机
mild,温和
Receive,收取
Starred,出演
Federal government,联邦政府
abolition,废除
file,档案
Love,恋情
Voltage,电压
Real,雷亚尔
ending,结局
Disclosure,披露
Central Bank,中央银行
power,势力
Jones,琼斯
landscape,景观
investors,投资商
equal,等于
folk,民间
Financial industry,金融业
camera,相机
aesthetics,美学
Inspired,启发
Trait,特质
heaven,天堂
Head,脑袋
Imaging,成像
Congressman,国会议员
feed,饲料
Peer,同行
Only,仅为
Daniel,丹尼尔
Wall,墙上
knee,膝盖
Correlation,相关性
skin,肌肤
We all know,众所周知
supply,供给
warming,变暖
End,终结
tuition,学费
capacity,容量
legend,传说
flame,火焰
pronunciation,发音
New people,新人
The newspaper,该报
Well,油井
The plant,该厂
National debt,国债
Favor,青睐
Withdrawal,撤出
corridor,走廊
cold,寒冷
willing,乐意
diversification,多样化
Jazz,爵士
About,约合
Outdated,过时
Pricing,定价
Quantitative,定量
Attached,附加
interaction,相互作用
China,中方
As,身为
Interpretation,解读
Stroke,中风
pretend,假装
East,东方
Login,登陆
Got it,受过
criminal,罪犯
Loan,借贷
Ethiopia,埃塞俄比亚
Leaderboards,排行榜
cooperation,协作
Chinese New Year,春节
Manuel,曼努埃尔
complication,并发症
fossil,化石
collision,碰撞
control,管制
container,容器
water surface,水面
Effectiveness,效力
Used,用到
package,包裹
Surprise,惊喜
secretary,秘书
Customs,海关
Opened,开业
Better than,优于
Very much,备受
chip,芯片
This,这座
Order,下令
key,钥匙
Ohio,俄亥俄州
astronaut,宇航员
blue,蓝色
McDonald's,麦当劳
Hands,双手
symbol,符号
zoo,动物园
output,产出
short term,短期
Can not get it,得不到
Benchmark,基准
Missing,失踪
Driving,行驶
source,根源
draw,绘制
semiconductor,半导体
scene,情景
Doorway,门口
Radio,电台
refrigerator,冰箱
Expo,博览会
set,集合
Wall Street Journal,华尔街日报
human nature,人性
classic,经典
National Bureau of Statistics,国家统计局
Crimea,克里米亚
panic,恐慌
abuse,滥用
former,前者
Federation,联合会
The play,该剧
More,更具
Seats,席位
return,重返
twice,两次
striking,引人注目
deprivation,剥夺
deliver,交付
Deal with,打交道
Abbas,阿巴斯
Gaming,博彩
West Asia,西亚
Exterior,外观
mean,意味
Seoul,首尔
Seemingly,看似
Demo,演示
friction,摩擦
city ​​center,市中心
Harry,哈利
Reception,接待
secretion,分泌
Southern Africa,南部非洲
Limbs,肢体
Benguela,本格拉
pace,步伐
Islands,群岛
radar,雷达
Easy,易于
dinosaur,恐龙
walk,走路
Total revenue,总收入
labor,劳工
Little brother,弟弟
Used,用以
Personality,人格
Silva,席尔瓦
painting,绘画
Same period,同期
anesthesia,麻醉
Architecture,架构
Die,死去
spread,蔓延
Come on,开来
Difficulty,难度
concession,让步
lion,狮子
Ushered in,迎来
firm,坚定
microorganism,微生物
noise,噪音
silence,沉默
direction,指向
Develop,养成
genius,天才
firearms,枪支
Unbelievable,不可思议
take off,起飞
Chemical material,化学物质
Has,设有
stop,制止
Model,车型
Lost,丢失
reputation,名声
Quarterly,季度
As done,当做
No,不行
motion,议案
melt,融化
Mumbai,孟买
Scramble,争夺
hormone,激素
Meet,开会
disgust,厌恶
Wear and tear,磨损
Opening ceremony,开幕式
Sina,新浪
kiss,亲吻
hacker,黑客
Make people,使人
Fire,火灾
filter,过滤
Harvard University,哈佛大学
ion,离子
substance,实质
chart,图表
cure,治愈
Tactics,手法
Civil servants,公务员
ant,蚂蚁
Harry,哈里
brother,哥哥
whole body,全身
waiting,等候
Withdrawal,撤军
Joint venture,合资企业
will,意志
Congo,刚果
Pula,普拉
General manager,总经理
Foreign Minister,外交部长
cabinet,内阁
Harvard,哈佛
Experience,体会
roof,屋顶
meet,遇见
Musical instruments,乐器
Brave,勇敢
America,美洲
Up,上来
Try,试试
catalyst,催化剂
Wearing,身穿
Black hole,黑洞
Cashew nuts,腰果
impulse,冲动
interesting,有意思
Las Vegas,拉斯维加斯
Candidate,人选
Rehabilitation,康复
Loss,亏损
Luxury,奢侈品
Evolution,演变
Two parties,两党
expand,拓展
height,身高
Talk about,谈谈
harmonious,和谐
Perception,感知
Renovation,整修
surplus,盈余
"Co., Ltd.",股份有限公司
Inauguration,就职
Hit,创下
saving,节约
abnormal,异常
goat,山羊
Florida,佛罗里达
Taste,口味
Clarify,阐明
negative,消极
Thinking,想着
manager,管理人员
Fish,鱼类
Crossed,越过
Branch,分公司
Bella,贝拉
cosmetic,化妆品
Angolan government,安哥拉政府
cover,掩盖
Booking,预订
accumulation,累积
future,前途
Better,好转
clone,克隆
speech,演说
Bright,明亮
silly,愚蠢
Total value,总值
comedy,喜剧
tennis,网球
Jewelry,珠宝
Solve,求解
watch TV,看电视
scene,场面
Apply,施加
Fabric,织物
Southeast Asia,东南亚
shopping center,购物中心
trademark,商标
limit,限度
Austria,奥地利
geometry,几何
struggle,奋斗
Devaluation,贬值
girlfriend,女朋友
exposure,曝光
shark,鲨鱼
Argument,论证
WC,厕所
dispute,纠纷
one person,一人
remuneration,报酬
how about it,怎么样
dress up,打扮
Success,取得成功
Review,审视
Damaged,受损
Security forces,安全部队
Florida,佛罗里达州
